1,O1,0,0,,
170,PF,,,,-15,-140,,
171,PG,,,,-6,147,,
172,PH,,,,13,122,,
173,PK,,,,30,70,,
174,PL,,,,52,20,,
175,PM,,,,46.8333,-56.3333,,
176,PR,,,,18.25,-66.5,,
177,PS,,,,32,35.25,,
178,PT,,,,39.5,-8,,
179,PW,,,,7.5,134.5,,
180,PY,,,,-23,-58,,
181,QA,,,,25.5,51.25,,
182,RE,,,,-21.1,55.6,,
183,RO,,,,46,25,,
184,RU,,,,60,100,,
185,RW,,,,-2,30,,
186,SA,,,,25,45,,
187,SB,,,,-8,159,,
188,SC,,,,-4.5833,55.6667,,
189,SD,,,,15,30,,
190,SE,,,,62,15,,
191,SG,,,,1.3667,103.8,,
192,SH,,,,-15.9333,-5.7,,
193,SI,,,,46,15,,
194,SJ,,,,78,20,,
195,SK,,,,48.6667,19.5,,
196,SL,,,,8.5,-11.5,,
197,SM,,,,43.9333,12.4667,,
198,SN,,,,14,-14,,
199,SO,,,,10,49,,
200,SR,,,,4,-56,,
201,ST,,,,1,7,,
202,SV,,,,13.8333,-88.9167,,
203,SY,,,,35,38,,
204,SZ,,,,-26.5,31.5,,
205,TC,,,,21.75,-71.5833,,
206,TD,,,,15,19,,
207,TF,,,,-43,67,,
208,TG,,,,8,1.1667,,
209,TH,,,,15,100,,
210,TJ,,,,39,71,,
211,TK,,,,-9,-172,,
212,TM,,,,40,60,,
213,TN,,,,34,9,,
214,TO,,,,-20,-175,,
215,TR,,,,39,35,,
216,TT,,,,11,-61,,
217,TV,,,,-8,178,,
218,TW,,,,23.5,121,,
219,TZ,,,,-6,35,,
220,UA,,,,49,32,,
221,UG,,,,1,32,,
222,UM,,,,19.2833,166.6,,
223,US,,,,38,-97,,
224,UY,,,,-33,-56,,
225,UZ,,,,41,64,,
226,VA,,,,41.9,12.45,,
227,VC,,,,13.25,-61.2,,
228,VE,,,,8,-66,,
229,VG,,,,18.5,-64.5,,
230,VI,,,,18.3333,-64.8333,,
231,VN,,,,16,106,,
232,VU,,,,-16,167,,
233,WF,,,,-13.3,-176.2,,
234,WS,,,,-13.5833,-172.3333,,
235,YE,,,,15,48,,
236,YT,,,,-12.8333,45.1667,,
237,RS,,,,44,21,,
238,ZA,,,,-29,24,,
239,ZM,,,,-15,30,,
240,ME,,,,42,19,,
241,ZW,,,,-20,30,,
242,A1,,,,0,0,,
243,A2,,,,0,0,,
